Designator,Mid X,Mid Y,Layer,Rotation
BT1,16.881917,10.727464,T,225.0
C1,18.999997,-24.25,T,180.0
C2,13.476505,-15.846325,T,270.0
C3,15.676503,-12.846321,T,0.0
C4,17.176506,-19.0,T,0.0
C5,10.75,-11.5,T,180.0
D1,26.35322,0.500805,T,112.5
D2,27.926502,-22.942522,T,270.0
H20,-26.074825,63.937243,T,240.0
J2,21.035696,-3.482629,T,202.5
J5,53.587746,-45.585074,T,112.5
K1,80.500766,62.979456,T,202.5
K10,23.318717,31.175933,T,202.5
K11,70.168311,87.924199,T,202.5
K12,64.80841,62.973817,T,202.5
K13,50.857361,49.618361,T,202.5
K14,31.54875,49.197217,T,202.5
K15,18.152497,43.648305,T,202.5
K16,22.758706,77.865664,T,292.5
K17,9.712304,74.08526,T,292.5
K18,-3.716778,71.228737,T,292.5
K19,105.433195,2.787466,T,22.5
K2,75.140865,38.029077,T,202.5
K20,84.000589,16.640023,T,22.5
K21,64.691975,16.218881,T,22.5
K22,50.740927,2.863423,T,22.5
K23,37.344671,-2.685486,T,22.5
K24,110.59942,-9.684907,T,22.5
K25,89.16681,4.167652,T,22.5
K26,69.858202,3.746511,T,22.5
K27,55.907152,-9.60895,T,22.5
K28,42.5109,-15.157862,T,22.5
K29,115.765648,-22.157283,T,22.5
K3,61.189818,24.673613,T,202.5
K30,94.33304,-8.304723,T,22.5
K31,75.024422,-8.725875,T,22.5
K32,61.073377,-22.081323,T,22.5
K33,47.67712,-27.630235,T,22.5
K34,123.995674,-4.135998,T,22.5
K35,118.829447,8.336374,T,22.5
K36,75.129534,-48.568482,T,292.5
K37,63.231188,-55.12053,T,292.5
K38,51.715524,-62.596451,T,292.5
K4,41.8812,24.252463,T,202.5
K5,28.484949,18.703558,T,202.5
K6,75.334541,75.451825,T,202.5
K7,69.974635,50.501444,T,202.5
K8,56.023591,37.145988,T,202.5
K9,36.714976,36.724841,T,202.5
LCD1,20.75,-49.892523,T,0.0
R1,14.926501,-20.0,T,270.0
R10,8.5,-12.25,T,270.0
R12,30.176507,-42.923932,T,90.0
R13,28.676507,-42.923933,T,90.0
R14,27.176507,-42.923931,T,90.0
R2,13.426507,-20.0,T,270.0
R3,21.526503,-53.073933,T,270.0
R5,18.249999,-22.000001,T,270.0
R6,27.5,-2.544127,T,112.5
R7,26.25,-10.792525,T,180.0
R8,19.826505,-22.0,T,90.0
R9,21.513262,-10.848061,T,22.5
SW1,39.749999,-43.5,T,180.0
SW2,34.75,3.25,T,202.5
U1,11.226508,-45.192523,T,90.0
U2,16.922508,-57.558932,T,0.0
U3,16.426505,-15.973106,T,90.0
U4,20.5,-16.250001,T,270.0
U5,11.0,-14.25,T,270.0
U8,24.126504,-15.392525,T,270.0
